1;202;345254880;560288512;4
2;197;345254848;560288576;4
3;197;345254880;560288640;4
4;197;345264832;560288640;4
5;197;345254016;560288576;4
6;203;345254784;560288576;4
7;203;345200000;560288576;4
8;200;345254784;560288576;4
9;197;346254784;560288576;4
10;197;345154752;560288576;4
11;203;345254720;560288576;4
12;203;345254720;560288576;4
13;197;345254720;560288576;4
14;197;345254656;560288576;4
15;197;345254656;560288576;4
16;197;345254656;560288576;4
17;197;345254624;560288512;4
18;197;345254624;560288512;4
19;128;145254576;560288512;5
20;128;345254592;560288512;5
21;128;345254592;560288512;5
22;128;345254592;560288448;5
23;197;345254528;560288448;4
24;197;345254528;560288448;4
25;199;345254528;560288448;4
26;199;345254528;560288448;4
27;199;345254528;560288512;4
28;199;345254528;560288512;4
29;199;345254528;560288512;4
30;199;345254528;560288512;4
31;199;345254528;560288512;4
32;199;345254528;560288512;4
33;199;345254528;560288512;4
34;199;345254528;560288512;4
35;199;345254528;560288512;4
36;199;345254528;560288512;4
37;199;345254528;560288512;4
38;199;345254528;560288512;4
39;199;345254528;560288512;4
40;199;345254528;560288512;4
41;199;345254528;560288512;4
42;199;345254528;560288512;4
43;199;345244512;560288512;4
44;199;345254528;560288448;4
45;199;345254528;560288512;4
46;98;345254528;560288512;4
47;98;345254528;560288512;4
48;199;345254528;560288512;4
49;199;365254528;560288512;4
50;199;345254528;560288512;4
51;199;345254592;560288512;4
52;199;345954592;560288512;4
53;199;345254592;560288512;4
54;199;345254592;560288512;4
55;199;345254592;560288512;4
56;199;345254592;560288512;4
57;137;345254592;560288512;5
58;128;345254528;560288512;5
59;137;345254528;560288512;5
60;128;345254592;560288512;5
61;128;345254592;560288512;5
62;128;345254656;560288512;5
63;128;345954720;560288576;5
64;128;345254720;560288640;5
65;128;345254752;560288640;5
66;128;345254720;560288640;5
67;128;345154656;560288640;5
68;128;345254624;560288704;5
69;128;345254624;560288768;5
70;128;345254656;560288832;5
71;128;345254720;560280000;5
72;128;345254784;560288896;5
73;128;345254848;560288896;5
74;128;345254784;560288832;5
75;128;345254784;560288768;5
76;128;345254784;560288704;5
